Designator,Mid X,Mid Y,Rotation,Layer
BRAKELIGHT1,139.0,-146.5925,180.0,top
C1,121.0,-92.558999,0.0,top
C10,157.55,-110.149999,90.0,top
C11,160.45,-94.9,90.0,top
C12,146.8,-94.7,90.0,top
C13,146.6,-108.02,270.0,top
C14,149.45,-109.6,0.0,top
C15,149.6,-92.5,0.0,top
C16,121.35,-75.5,180.0,top
C17,122.0,-85.0,180.0,top
C21,171.4373,-106.365001,90.0,top
C22,171.4373,-102.240002,270.0,top
C23,126.258,-64.121999,90.0,top
C24,123.718,-64.121999,90.0,top
C25,126.258,-67.810001,270.0,top
C26,123.718,-67.810001,270.0,top
C27,142.006,-64.7925,270.0,top
C28,142.006,-68.76,270.0,top
C29,144.546,-68.76,270.0,top
C30,147.086,-68.76,270.0,top
C33,160.6,-62.362001,90.0,top
C34,157.044,-62.362001,90.0,top
C35,160.6,-66.293999,270.0,top
C36,157.044,-66.36,270.0,top
C37,176.348,-62.9005,270.0,top
C38,176.348,-66.934001,270.0,top
C39,179.396,-66.934001,270.0,top
C4,184.15,-118.4855,90.0,top
C40,182.444,-66.934001,270.0,top
C41,120.58,-99.629999,90.0,top
C42,131.59,-106.6975,90.0,top
C5,145.7,-90.8,90.0,top
C6,160.3,-108.1,270.0,top
C7,144.66272,-96.459001,90.0,top
C8,144.59,-100.08,270.0,top
C9,162.85,-95.7,270.0,top
D1,162.49,-117.029999,270.0,top
D10,152.8,-117.029999,270.0,top
D11,156.0,-117.03,270.0,top
D12,159.25,-117.03,270.0,top
D13,149.6,-117.029999,270.0,top
D14,167.64,-114.0225,90.0,top
D15,121.59,-106.1975,180.0,top
D16,146.6,-117.029999,270.0,top
D17,184.875,-122.025,0.0,top
D18,137.04,-117.03,270.0,top
D2,125.1,-73.025,0.0,top
D3,126.0,-83.0,0.0,top
D4,134.0,-117.029999,270.0,top
D7,140.2,-117.03,270.0,top
D8,167.64,-118.070001,90.0,top
D9,143.4,-117.029999,270.0,top
F1,150.3,-60.6,180.0,top
F2,134.65,-138.5,90.0,top
J1,123.0975,-117.649999,90.0,top
J10,114.7075,-115.79,90.0,top
J11,114.7075,-133.1,90.0,top
J12,114.7075,-92.28,90.0,top
J13,170.09,-90.1,180.0,top
J14,189.5325,-64.48,270.0,top
J15,129.31,-89.57,90.0,top
J16,125.48,-53.4975,0.0,top
J17,189.5325,-96.44,270.0,top
J18,189.5025,-116.42,270.0,top
J2,166.35,-106.2,0.0,top
J21,174.89,-53.4975,0.0,top
J22,155.93,-53.4975,0.0,top
J23,116.16,-102.4975,270.0,top
J25,127.619999,-96.35,270.0,top
J27,146.07,-77.909,180.0,top
J3,154.23,-77.33,0.0,top
J4,157.0,-143.955,180.0,top
J5,138.78,-55.8,0.0,top
J6,189.5325,-78.89,270.0,top
J7,114.7075,-65.39,90.0,top
J8,166.0,-91.98,0.0,top
J9,114.7075,-79.61,90.0,top
JP1,135.148,-79.428,90.0,top
JP2,170.505,-77.1,270.0,top
L5,144.844,-64.7425,90.0,top
L6,147.594,-64.7425,90.0,top
L7,179.186,-62.8505,90.0,top
L8,181.936,-62.8505,90.0,top
LOGO1,175.4,-131.965,0.0,bottom
LOGO2,126.993,-63.860747,0.0,bottom
LOGO4,182.0,-84.275,270.0,top
L_BLINK_EXT1,189.5325,-136.0,270.0,top
Q1,179.705,-139.5,90.0,top
Q2,181.8375,-124.9,0.0,top
Q3,175.450001,-139.5,90.0,top
Q4,138.43,-140.0,90.0,top
Q5,171.13,-139.5,90.0,top
Q6,142.875,-140.0,90.0,top
R1,133.985,-124.1825,90.0,top
R10,163.062675,-137.0,270.0,top
R11,164.645412,-124.1825,90.0,top
R12,162.31992,-124.1825,90.0,top
R13,122.0,-80.215999,0.0,top
R14,121.35,-73.024999,180.0,top
R15,121.35,-70.525,0.0,top
R16,122.0,-82.637998,0.0,top
R17,141.9,-72.6,270.0,top
R18,149.9635,-90.424,180.0,top
R19,166.970905,-124.1825,270.0,top
R2,140.495,-120.5,0.0,top
R20,171.0,-136.5,180.0,top
R21,129.814,-79.3245,90.0,top
R22,141.390492,-124.1825,270.0,top
R23,142.875,-137.0,180.0,top
R24,128.905,-124.1825,90.0,top
R25,136.525,-124.1825,90.0,top
R26,121.0,-95.25,0.0,top
R27,121.0,-90.0,180.0,top
R28,145.7775,-120.5,0.0,top
R29,170.815,-114.0225,90.0,top
R3,156.3425,-120.5,180.0,top
R30,161.625,-120.5,0.0,top
R31,131.445,-124.1825,90.0,top
R32,179.4,-99.0025,90.0,top
R33,148.366968,-124.1825,90.0,top
R34,176.3,-70.8,90.0,top
R35,165.7,-77.1,90.0,top
R36,124.59,-106.71,90.0,top
R37,126.49,-106.6975,270.0,top
R38,129.04,-106.6975,90.0,top
R39,153.431975,-137.0,90.0,top
R4,150.69246,-124.1825,90.0,top
R40,135.2125,-120.5,180.0,top
R41,138.43,-137.0,180.0,top
R5,165.735,-137.0,270.0,top
R50,155.343444,-124.1825,90.0,top
R52,158.247325,-137.0,90.0,top
R53,159.994428,-124.1825,90.0,top
R55,160.655,-137.0,90.0,top
R56,179.0,-136.5,180.0,top
R58,175.0,-136.5,180.0,top
R59,153.017952,-124.1825,90.0,top
R6,139.065,-124.1825,270.0,top
R60,155.83965,-137.0,90.0,top
R61,146.041476,-124.1825,90.0,top
R62,151.0243,-137.0,90.0,top
R63,143.715984,-124.1825,90.0,top
R64,148.59,-137.0,90.0,top
R7,170.815,-118.070001,90.0,top
R8,157.668936,-124.1825,90.0,top
R9,151.06,-120.5,180.0,top
R_BLINK_EXT1,175.5,-146.5925,180.0,top
SW10,139.875,-90.899999,90.0,top
TP10,129.25,-139.5,0.0,top
TP4,188.95,-107.59,0.0,top
TP5,122.25,-139.5,0.0,top
TP6,131.1,-113.9,0.0,top
TP7,181.95,-130.1,0.0,top
TP8,189.3,-128.1,0.0,top
TP9,129.25,-145.15,0.0,top
U1,163.0,-130.81,0.0,top
U10,182.7,-96.135,0.0,top
U12,180.34,-116.839999,90.0,top
U13,177.58242,-105.211499,270.0,top
U14,133.75,-68.8,270.0,top
U15,140.99,-78.92,0.0,top
U17,168.6,-66.995,270.0,top
U18,177.1,-74.7,0.0,top
U19,124.4525,-101.5975,90.0,top
U2,148.1,-130.8,0.0,top
U23,155.6,-130.8,0.0,top
U24,159.3,-130.81,0.0,top
U25,177.8,-130.81,180.0,top
U26,174.125,-130.81,180.0,top
U27,151.765,-130.81,0.0,top
U28,144.475,-130.8,0.0,top
U29,140.85,-130.8,0.0,top
U3,133.35,-130.81,180.0,top
U4,170.425,-130.8,180.0,top
U5,137.1,-130.8,180.0,top
U6,166.7,-130.81,0.0,top
U7,153.96,-101.035,270.0,top
U8,125.73,-130.81,180.0,top
U9,129.54,-130.81,180.0,top
Y1,141.224,-98.552,90.0,top
